Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;knapsackga.cpp;16;2.4628746509552;1-3.5;Random bit-flip
i;knapsackga.cpp;78;2.743483066558838;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;1.8313510417938232;1-3.5;Random bit-flip
n;knapsackga.cpp;16;3.234630823135376;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;2.0703728199005127;1-3.5;Random bit-flip
n;knapsackga.cpp;16;2.5377540588378906;1-3.5;Random bit-flip
val;knapsackga.cpp;14;2.708799123764038;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;1.7058632373809814;1-3.5;Random bit-flip
W;knapsackga.cpp;16;3.135847568511963;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;1.3244192600250244;1-3.5;Random bit-flip
n;knapsackga.cpp;16;1.7597856521606445;1-3.5;Random bit-flip
__last;/usr/include/c++/7/bits/stl_uninitialized.h;287;2.252321481704712;1-3.5;Random bit-flip
n;knapsackga.cpp;16;2.2800848484039307;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;2.391866683959961;1-3.5;Random bit-flip
n;knapsackga.cpp;16;2.112006187438965;1-3.5;Random bit-flip
val;knapsackga.cpp;14;1.8876163959503174;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;2.5573983192443848;1-3.5;Random bit-flip
i;knapsackga.cpp;25;2.3090455532073975;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;3.161957025527954;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;1.943310260772705;1-3.5;Random bit-flip
__tmp;/usr/include/c++/7/bits/move.h;198;2.4777848720550537;1-3.5;Random bit-flip
n;knapsackga.cpp;16;2.544285297393799;1-3.5;Random bit-flip
randIndex;knapsackga.cpp;62;2.1115777492523193;1-3.5;Random bit-flip
n;knapsackga.cpp;16;1.755033254623413;1-3.5;Random bit-flip
randtbl;random.c;146;2.126767635345459;1-3.5;Random bit-flip
n;knapsackga.cpp;16;1.6559467315673828;1-3.5;Random bit-flip
val;knapsackga.cpp;14;2.668459892272949;1-3.5;Random bit-flip
n;knapsackga.cpp;16;3.3188936710357666;1-3.5;Random bit-flip
f1;knapsackga.cpp;105;2.150261402130127;1-3.5;Random bit-flip
i;knapsackga.cpp;109;2.171117067337036;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;2.1908724308013916;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;3.082200050354004;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;2.157240867614746;1-3.5;Random bit-flip
val;knapsackga.cpp;14;1.7886230945587158;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;2.207479238510132;1-3.5;Random bit-flip
