Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
W;knapsackga.cpp;16;2.2029926776885986;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.197499990463257;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.6944644451141357;1-3.5;Random bit-flip
wt;knapsackga.cpp;15;3.2396957874298096;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.061293601989746;1-3.5;Random bit-flip
wt;knapsackga.cpp;15;1.865288257598877;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.4020335674285889;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.236907482147217;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.7988431453704834;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.2186009883880615;1-3.5;Random bit-flip
val;knapsackga.cpp;14;1.415015459060669;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.4619770050048828;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.2300035953521729;1-3.5;Random bit-flip
wt;knapsackga.cpp;15;1.8464329242706299;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.6828930377960205;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.843000888824463;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.516967535018921;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.274780511856079;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.726417303085327;1-3.5;Random bit-flip
wt;knapsackga.cpp;15;2.3188788890838623;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.9087414741516113;1-3.5;Random bit-flip
W;knapsackga.cpp;16;3.052997589111328;1-3.5;Random bit-flip
W;knapsackga.cpp;16;3.290726900100708;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.6477012634277344;1-3.5;Random bit-flip
W;knapsackga.cpp;16;3.1679952144622803;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.3991332054138184;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.7918486595153809;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.2510707378387451;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.7801618576049805;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.3026154041290283;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.8955624103546143;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.405968189239502;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.4942727088928223;1-3.5;Random bit-flip
val;knapsackga.cpp;14;2.198368549346924;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.9120526313781738;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.6662249565124512;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.520010232925415;1-3.5;Random bit-flip
val;knapsackga.cpp;14;2.4485702514648438;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.517995834350586;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.6534113883972168;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.4751241207122803;1-3.5;Random bit-flip
wt;knapsackga.cpp;15;1.9435453414916992;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.8727350234985352;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.805734395980835;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.3021633625030518;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.6861679553985596;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.4321544170379639;1-3.5;Random bit-flip
W;knapsackga.cpp;16;3.206770420074463;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.5299229621887207;1-3.5;Random bit-flip
wt;knapsackga.cpp;15;1.771892786026001;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.4916081428527832;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.8513257503509521;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.533949375152588;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.6386306285858154;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.5822794437408447;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.4060051441192627;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.8105964660644531;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.421137571334839;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.882110357284546;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.07857346534729;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.3564362525939941;1-3.5;Random bit-flip
val;knapsackga.cpp;14;1.6824381351470947;1-3.5;Random bit-flip
wt;knapsackga.cpp;15;3.412627696990967;1-3.5;Random bit-flip
val;knapsackga.cpp;14;2.7575528621673584;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.316570281982422;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.940143346786499;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.2239673137664795;1-3.5;Random bit-flip
W;knapsackga.cpp;16;2.7220544815063477;1-3.5;Random bit-flip
val;random_r.c;374;2.5119974613189697;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.891378402709961;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.1920969486236572;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.4633264541625977;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.770930290222168;1-3.5;Random bit-flip
W;knapsackga.cpp;16;1.8295116424560547;1-3.5;Random bit-flip
